Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
4379, 93644.00, 0.08, 0.07, 0.83, 6.82,-0.14, 5.77,21.56, -104.88, -698.28, 111.32, -1.67
4468, 93647.00, 0.11, 0.06, 0.81, 6.82,-0.14, 5.70,21.58, -103.96, -700.12, 111.32, -1.67
4558, 93641.00, 0.08, 0.06, 0.82, 6.82,-0.21, 5.77,21.56, -104.88, -701.04, 112.24, -1.67
4647, 93633.00, 0.09, 0.07, 0.81, 6.82,-0.21, 5.70,21.54, -103.96, -700.12, 111.32, -1.67
4805, 93650.00, 0.10, 0.08, 0.82, 6.82,-0.21, 5.70,21.56, -103.04, -699.20, 113.16, -1.67
4895, 93644.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.58, -103.04, -700.12, 112.24, -1.67
4987, 93641.00, 0.08, 0.07, 0.82, 6.82,-0.21, 5.70,21.54, -103.96, -697.36, 113.16, -1.67
5077, 93644.00, 0.10, 0.06, 0.82, 6.82,-0.14, 5.70,21.56, -107.64, -700.12, 113.16, -1.68
5166, 93641.00, 0.09, 0.07, 0.82, 6.82,-0.21, 5.70,21.58, -104.88, -700.12, 111.32, -1.67
5257, 93639.00, 0.08, 0.07, 0.81, 6.82,-0.21, 5.70,21.55, -106.72, -700.12, 113.16, -1.68
5346, 93647.00, 0.08, 0.06, 0.81, 6.82,-0.14, 5.70,21.56, -103.96, -701.96, 113.16, -1.67
5439, 93644.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.57, -104.88, -700.12, 110.40, -1.67
5529, 93641.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.70,21.57, -104.88, -698.28, 111.32, -1.67
5625, 93636.00, 0.09, 0.08, 0.82, 6.82,-0.14, 5.70,21.55, -103.96, -699.20, 110.40, -1.67
5716, 93644.00, 0.08, 0.07, 0.81, 6.82,-0.21, 5.70,21.57, -103.96, -700.12, 111.32, -1.67
5806, 93639.00, 0.08, 0.06, 0.81, 6.82,-0.14, 5.70,21.56, -104.88, -700.12, 114.08, -1.67
5903, 93644.00, 0.08, 0.06, 0.81, 6.82,-0.14, 5.70,21.57, -105.80, -696.44, 115.00, -1.68
5996, 93639.00, 0.10, 0.07, 0.82, 6.82,-0.21, 5.70,21.54, -104.88, -696.44, 113.16, -1.67
6086, 93639.00, 0.08, 0.07, 0.82, 6.82,-0.21, 5.70,21.56, -103.96, -699.20, 112.24, -1.67
6177, 93644.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.58, -104.88, -699.20, 110.40, -1.67
6267, 93639.00, 0.09, 0.07, 0.82, 6.82,-0.21, 5.77,21.58, -104.88, -698.28, 110.40, -1.67
6357, 93639.00, 0.09, 0.07, 0.81, 6.82,-0.21, 5.70,21.57, -103.04, -700.12, 112.24, -1.67
6447, 93633.00, 0.09, 0.07, 0.82, 6.82,-0.21, 5.70,21.58, -103.04, -698.28, 110.40, -1.67
6539, 93630.00, 0.09, 0.06, 0.81, 6.82,-0.21, 5.70,21.55, -105.80, -698.28, 113.16, -1.68
6630, 93639.00, 0.08, 0.07, 0.81, 6.82,-0.14, 5.70,21.58, -105.80, -701.04, 112.24, -1.67
6721, 93639.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.77,21.56, -104.88, -697.36, 114.08, -1.67
6811, 93633.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.77,21.58, -107.64, -699.20, 111.32, -1.68
6907, 93627.00, 0.10, 0.08, 0.82, 6.82,-0.21, 5.77,21.59, -103.96, -699.20, 111.32, -1.67
6999, 93647.00, 0.09, 0.06, 0.81, 6.82,-0.21, 5.70,21.57, -105.80, -698.28, 112.24, -1.68
7089, 93636.00, 0.09, 0.07, 0.82, 6.82,-0.21, 5.70,21.57, -103.96, -697.36, 113.16, -1.67
7195, 93633.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,21.56, -104.88, -697.36, 110.40, -1.67
7297, 93639.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.56, -103.96, -700.12, 112.24, -1.67
7387, 93639.00, 0.09, 0.06, 0.81, 6.82,-0.21, 5.70,21.58, -104.88, -700.12, 111.32, -1.67
7477, 93644.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.56, -104.88, -697.36, 113.16, -1.67
7571, 93636.00, 0.10, 0.07, 0.81, 6.82,-0.14, 5.70,21.59, -104.88, -700.12, 113.16, -1.67
7661, 93627.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,21.58, -103.96, -699.20, 109.48, -1.67
7751, 93644.00, 0.09, 0.06, 0.81, 6.82,-0.21, 5.70,21.59, -104.88, -697.36, 113.16, -1.67
7841, 93633.00, 0.09, 0.06, 0.81, 6.82,-0.21, 5.70,21.58, -103.96, -696.44, 115.00, -1.67
7931, 93633.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.58, -104.88, -698.28, 111.32, -1.67
8021, 93627.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.77,21.59, -103.04, -699.20, 111.32, -1.67
8125, 93630.00, 0.08, 0.07, 0.82, 6.82,-0.14, 5.70,21.59, -101.20, -699.20, 112.24, -1.67
8215, 93636.00, 0.09, 0.07, 0.82, 6.75,-0.14, 5.70,21.58, -104.88, -700.12, 109.48, -1.67
8306, 93647.00, 0.10, 0.08, 0.82, 6.82,-0.14, 5.70,21.58, -105.80, -698.28, 112.24, -1.68
8396, 93636.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.59, -103.96, -698.28, 112.24, -1.67
8500, 93633.00, 0.08, 0.07, 0.82, 6.75,-0.21, 5.70,21.59, -105.80, -697.36, 111.32, -1.68
8592, 93639.00, 0.09, 0.07, 0.81, 6.82,-0.21, 5.70,21.58, -106.72, -699.20, 110.40, -1.68
8684, 93636.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.70,21.59, -103.96, -698.28, 111.32, -1.67
8774, 93636.00, 0.09, 0.07, 0.80, 6.82,-0.21, 5.77,21.58, -103.96, -696.44, 110.40, -1.67
8864, 93639.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.58, -105.80, -700.12, 113.16, -1.68
8954, 93644.00, 0.10, 0.06, 0.82, 6.82,-0.21, 5.77,21.59, -105.80, -701.04, 110.40, -1.67
9044, 93641.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.70,21.60, -104.88, -700.12, 113.16, -1.67
9137, 93633.00, 0.09, 0.07, 0.81, 6.82,-0.21, 5.70,21.58, -103.96, -698.28, 111.32, -1.67
9227, 93639.00, 0.08, 0.07, 0.81, 6.89,-0.21, 5.70,21.60, -104.88, -697.36, 113.16, -1.67
9317, 93633.00, 0.10, 0.07, 0.81, 6.82,-0.21, 5.70,21.59, -103.96, -697.36, 112.24, -1.67
9414, 93633.00, 0.10, 0.07, 0.82, 6.82,-0.14, 5.70,21.60, -105.80, -698.28, 111.32, -1.68
9504, 93641.00, 0.08, 0.07, 0.81, 6.82,-0.21, 5.77,21.56, -103.96, -697.36, 113.16, -1.67
9597, 93639.00, 0.09, 0.07, 0.82, 6.82,-0.21, 5.70,21.59, -105.80, -698.28, 111.32, -1.68
9687, 93650.00, 0.09, 0.06, 0.82, 6.82,-0.21, 5.70,21.61, -103.96, -697.36, 112.24, -1.67
9784, 93639.00, 0.10, 0.08, 0.82, 6.82,-0.21, 5.70,21.58, -103.04, -699.20, 112.24, -1.67
9875, 93644.00, 0.08, 0.07, 0.82, 6.82,-0.14, 5.70,21.58, -107.64, -698.28, 114.08, -1.68
9965, 93639.00, 0.08, 0.07, 0.81, 6.82,-0.14, 5.70,21.58, -104.88, -698.28, 112.24, -1.67
10055, 93641.00, 0.08, 0.06, 0.81, 6.82,-0.21, 5.70,21.59, -105.80, -701.04, 111.32, -1.67
10148, 93633.00, 0.09, 0.07, 0.81, 6.82,-0.21, 5.70,21.59, -103.96, -699.20, 110.40, -1.67
10238, 93641.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.77,21.59, -104.88, -699.20, 110.40, -1.67
10328, 93639.00, 0.08, 0.06, 0.81, 6.82,-0.21, 5.70,21.59, -106.72, -697.36, 110.40, -1.68
10418, 93644.00, 0.08, 0.07, 0.81, 6.82,-0.21, 5.70,21.59, -103.04, -699.20, 111.32, -1.67
10508, 93639.00, 0.09, 0.08, 0.82, 6.82,-0.21, 5.70,21.59, -105.80, -699.20, 111.32, -1.68
10598, 93633.00, 0.08, 0.05, 0.81, 6.82,-0.14, 5.70,21.58, -101.20, -698.28, 114.08, -1.67
10697, 93633.00, 0.09, 0.07, 0.81, 6.82,-0.21, 5.70,21.59, -105.80, -700.12, 111.32, -1.68
10788, 93633.00, 0.10, 0.07, 0.81, 6.82,-0.14, 5.70,21.59, -103.96, -700.12, 110.40, -1.67
10878, 93639.00, 0.08, 0.07, 0.80, 6.82,-0.21, 5.70,21.58, -103.96, -699.20, 112.24, -1.67
10968, 93633.00, 0.09, 0.06, 0.82, 6.82,-0.21, 5.70,21.59, -103.96, -701.96, 113.16, -1.67
11082, 93641.00, 0.08, 0.06, 0.81, 6.82,-0.14, 5.77,21.59, -106.72, -699.20, 113.16, -1.68
11174, 93639.00, 0.09, 0.07, 0.82, 6.75,-0.14, 5.70,21.59, -105.80, -698.28, 111.32, -1.68
11264, 93639.00, 0.10, 0.06, 0.82, 6.82,-0.14, 5.70,21.58, -105.80, -699.20, 108.56, -1.68
11354, 93639.00, 0.07, 0.06, 0.82, 6.82,-0.14, 5.70,21.60, -105.80, -697.36, 110.40, -1.68
11444, 93636.00, 0.09, 0.05, 0.83, 6.82,-0.14, 5.70,21.59, -104.88, -699.20, 111.32, -1.67
11535, 93639.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.70,21.59, -103.04, -696.44, 113.16, -1.67
11626, 93636.00, 0.09, 0.07, 0.81, 6.75,-0.14, 5.70,21.60, -106.72, -699.20, 112.24, -1.68
11718, 93636.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.70,21.59, -103.04, -700.12, 112.24, -1.67
11808, 93627.00, 0.09, 0.07, 0.81, 6.75,-0.21, 5.70,21.60, -102.12, -698.28, 112.24, -1.67
11898, 93627.00, 0.10, 0.07, 0.82, 6.75,-0.21, 5.70,21.60, -103.96, -697.36, 112.24, -1.67
