Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 91429.00,-0.05,-0.52, 0.69, 9.25,-13.36,46.75,19.96, -143.52, -519.80, -26.68, -1.79
116, 91429.00,-0.08,-0.55, 0.78, 1.11,-5.29,35.55,19.97, -152.72, -519.80,  0.92, -1.81
231, 91427.00,-0.07,-0.52, 0.74,10.23,-5.43,22.12,19.96, -158.24, -515.20, 13.80, -1.82
363, 91432.00,-0.02,-0.41, 0.78, 7.51,-9.67,-2.43,19.97, -179.40, -505.08,  1.84, -1.87
475, 91435.00, 0.04,-0.50, 0.82,-9.32,19.13,-4.87,19.97, -148.12, -519.80,  8.28, -1.80
585, 91424.00,-0.17,-0.55, 0.75, 6.26,64.56,-26.85,19.96, -99.36, -543.72,  0.92, -1.71
697, 91424.00,-0.14,-0.51, 0.73,-1.53,12.59,-13.77,19.96, -81.88, -552.00, -17.48, -1.67
808, 91421.00,-0.29,-0.49, 0.69,-8.63,60.24, 5.70,19.97, 11.96, -581.44,  4.60, -1.50
921, 91432.00,-0.28,-0.65, 1.05,-32.90,36.52,-61.50,19.96, 
